Measurement Name,7089-Yonatan 18.3.18_01 (Normal Range),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time of run,18/03/2018 09:45:25 (1521366325),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duration,51274 s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Measurement location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analyzer model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serial number,7089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operator name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Measurement mode,Autostore (Normal Range),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start mode,Daily,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duration (s),600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel 1,-20 dB,AC,,PCB 377B07 166403 1/2,0.00626676 (V)/(Pa),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1/3 Octave CH1 - 1/2""",0.315 Hz ÷ 2 kHz,,,Slow,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SLM CH1 - 1/2""",,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marker,,,,,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"CH1 - 1/2""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overload count,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Underrange count,10413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marker count,Alarm Yellow,Alarm Blue,Alarm Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,0.315,0.4,0.5,0.6300001,0.8,1,1.25,1.6,2,2.5,3.15,4,5,6.3,8,10,12.5,16,20,25,31.5,40,50,63,80,100,125,160,200,250,315,400,500,630,800,1000,1250,1600,2000,SUM(LIN),SUM(A)
s,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB
1,83.57117462,75.99737549,84.63111877,75.41867065,69.27558136,83.52568817,80.14103699,87.32191467,79.92914581,72.23323059,66.35358429,59.22286606,56.40300369,50.79179764,50.7414093,45.8889389,46.37057877,47.76126862,47.18309784,47.59332657,46.75048065,46.03178406,46.05729675,53.6343689,44.21316528,44.36579895,44.09472656,40.38405609,42.37552643,39.91896057,38.87274933,42.02144241,40.21220398,36.47056198,34.46279907,36.4778862,35.22748947,36.01469803,34.16347122,92.01694489,45.89881516
2,85.38285065,76.63395691,82.78502655,73.23140717,77.88513947,87.26423645,80.81159973,86.52563477,75.98742676,73.14395905,62.25975037,55.51086044,52.48148346,51.16908646,48.31386566,48.43132782,46.59614182,50.03614426,47.86291122,47.84667587,45.13780212,46.34436798,46.11000824,52.62480927,42.19087982,44.94353867,44.07839203,42.14250946,42.54546738,40.06906128,39.62031555,41.28111267,39.56335449,36.21300125,35.4256134,36.27598572,35.41542053,35.87748718,33.47573853,92.62419891,45.7557373
3,84.26730347,74.13071442,80.58363342,69.5572052,80.86067963,89.40544128,83.28160095,84.27692413,72.87534332,70.86084747,58.29589844,54.53845978,52.88996887,48.13544464,49.40882111,49.19255829,47.76174545,48.70523071,47.62502289,46.92259979,49.18916702,47.47852707,46.37188339,53.29961777,42.93094254,44.14070129,43.22303009,43.70824814,43.37807465,41.64655685,39.89036179,40.99715805,39.60626984,36.45868683,35.87273407,36.15470123,35.77119827,35.87724304,33.27401352,92.84388733,45.93967056
4,86.06202698,71.34266663,79.11267853,69.61386108,84.1574707,90.39199829,83.15033722,80.97244263,69.19355011,69.27669525,59.75566101,53.7545433,54.34095383,52.41332626,52.53361511,52.524086,52.66921616,49.87265778,49.76738358,49.21504593,48.02695847,47.81990814,49.30047989,52.50821686,44.62849045,46.22462463,44.76259232,46.06357193,45.47061539,44.24901581,43.01503754,43.16470337,42.553936,40.4375,38.46408081,38.37506866,38.89772797,39.33288574,36.70077133,93.45298004,48.80342102
5,85.88465881,69.24275208,78.8504715,73.60775757,84.78207397,90.49949646,79.68787384,81.1840744,70.33650208,71.52394867,59.78202438,55.59996796,53.96556473,53.14631653,51.12304688,53.30192566,50.81684113,50.16735458,50.92897797,48.26411819,49.60076904,48.12763977,47.63909149,52.04725266,44.57152557,45.38047409,44.70862579,45.37929916,45.05311584,43.39357376,41.92171478,42.4753952,41.98402405,39.59201813,37.96158218,37.98810577,37.98661804,38.84739685,35.76796341,93.36659241,48.13015366
6,85.29956818,68.08557892,79.38516235,80.46305847,84.67299652,90.10749054,79.04454041,85.74253082,76.12854767,70.81445313,63.52915192,56.4550209,54.93316269,52.57915878,50.65587997,53.42967606,50.69223022,50.07102966,49.70814514,46.87149429,48.51416016,48.20036316,44.9718895,50.71850586,43.98880005,44.4018898,43.50991058,43.58707428,43.67538452,42.03983688,40.532341,41.56929779,40.48947906,38.70461655,37.27051163,37.43576813,37.23810959,38.01961517,34.67954636,93.75579071,47.14315033
7,86.5883255,70.62091827,79.24957275,85.69824219,82.49543762,89.68258667,82.76327515,88.39820099,74.44365692,69.18215942,60.30456924,54.74047089,53.90886688,51.897995,48.50391006,53.02014923,51.44620514,50.80848312,49.39962769,48.3850174,50.07582092,48.71907806,44.53362274,51.3414917,43.07600021,42.78794098,43.82403564,43.11533356,42.48693466,41.32091904,40.12664032,41.0592308,40.57363892,38.51244736,37.31908798,37.94123077,37.56611252,38.37100601,34.90923309,94.69770813,47.16867828
8,85.45600128,72.7410965,80.16320801,88.26522827,79.06990814,88.51811218,83.94766998,88.14105225,71.85301971,66.41721344,58.05406189,57.37449646,53.01270294,49.51898956,48.48446655,51.47173309,47.9966507,51.19995117,48.51465607,48.0655899,49.30633163,47.36514664,43.36893082,51.0234642,43.56266403,43.52999878,43.69218826,42.16834259,41.98295975,41.51293182,39.75588608,41.02352905,40.16215515,38.24897385,37.14106369,37.78372574,37.60554504,38.17736816,34.67355728,94.56112671,46.98353577
9,85.59127045,75.55162811,78.59911346,90.25939178,79.49887085,86.35385132,83.83415222,85.17346191,71.24591064,62.3473053,59.32215118,53.38870621,53.09051132,49.99187851,52.88174057,54.87091446,51.7000618,49.89044571,50.61087799,53.54964447,49.2866478,46.32992554,45.36737823,51.13447189,42.64026642,44.08243561,43.560215,42.25640106,41.06847763,40.91360474,39.25476456,40.17184448,39.59247208,37.10908508,36.18630219,36.74784088,36.51026917,37.09867859,33.94736099,94.21946716,46.11442947
10,86.6962738,78.64756775,76.88771057,92.1340332,82.54685974,83.43252563,82.13339233,81.33395386,67.59135437,60.47348022,57.27924728,49.73690414,54.83308411,50.34607315,52.99867249,52.4817276,49.41374969,47.70832443,47.11616516,50.64640427,48.55060196,44.67733002,44.1319809,51.54677963,42.60528946,43.66227722,43.1076355,42.71932602,40.8453064,39.99138641,38.91558456,39.27757645,38.82290649,35.93770981,35.3392067,36.08672714,35.49573135,35.8944931,33.06636047,94.67247009,45.27931976
11,85.14724731,79.27483368,81.43850708,92.81816101,83.51417542,80.04690552,79.57862091,78.36619568,65.33345032,58.99958038,53.72541046,47.11340332,53.0423317,51.71300888,51.64334869,49.65325928,46.63922882,46.09161758,45.45627213,48.91029739,47.09720612,44.1738472,42.71307373,52.05971146,41.35174179,43.39109039,42.76650238,41.78337479,40.39697266,39.60583496,37.86194611,38.81781769,38.27886963,35.25617218,34.29660034,34.99756622,34.3671608,34.74584198,32.0638237,94.7059021,44.42814636
12,87.44011688,82.50535583,82.40386963,92.06091309,84.13285065,76.57332611,76.46185303,74.65150452,61.60246277,59.34901428,51.3278656,50.15143967,54.22923279,50.38398743,51.90206146,49.50343323,49.43916321,46.64596176,45.01750946,47.50061417,45.95681763,45.28369522,43.72093582,51.34416962,40.82769012,43.87469482,42.18622589,40.51086044,40.18061066,39.33312225,37.53404999,38.27144623,37.74279404,35.34275055,33.61851501,34.14548492,33.61210251,34.19508362,31.47426987,94.61727142,43.89304352
13,88.19340515,86.98599243,88.22628021,90.61410522,82.7328186,73.47322845,73.99855804,71.03405762,60.67261505,58.51116562,53.62924576,51.25178909,51.34456635,48.42110443,47.96663284,47.23221207,47.27645111,46.91461945,44.8742485,46.57582092,45.74870682,44.43530655,43.25945282,52.09337234,41.8441925,42.83665466,41.00821686,39.916008,40.00362015,38.82217789,37.80548859,38.35307312,36.99298096,34.85469437,32.75040436,33.29889679,32.65818024,32.95729828,30.22902679,95.08747864,43.22629929
14,87.7389679,89.48035431,89.18922424,88.74042511,80.22425842,70.77526855,73.07633209,70.17537689,58.4638176,58.06187057,51.78371048,48.45256805,51.98770905,46.33315277,48.4326973,46.88697433,46.89878082,45.85186386,43.65048981,47.63845444,46.08052063,45.56487274,42.43541336,51.66020966,42.70640564,43.2708931,41.93954086,40.05260468,40.37781525,39.04125214,37.88406372,38.52185822,36.57796478,34.30165482,33.07980347,32.79570007,32.72980118,33.05345917,30.34380913,95.06465149,43.205513
15,90.29962158,89.72509766,90.69733429,85.20698547,79.30607605,67.50744629,72.62708282,67.28860474,63.25370407,57.76603317,57.78384781,54.71042252,53.61683273,47.50695038,52.42243958,49.25242615,45.24736404,47.69803619,46.38862991,47.7970047,45.88014603,44.93022537,44.8372612,51.27809525,42.17785263,42.91973114,43.71586609,41.42323303,40.74792862,40.57601929,39.31506348,39.29589081,38.1831398,36.19345856,34.45332718,34.31146622,34.31858444,34.73368454,31.95833969,95.60527039,44.61010742
16,89.7444458,89.51533508,91.95787048,81.49034119,82.04119873,71.62364197,72.7405777,66.77294159,70.65133667,64.26091003,59.52697372,55.43715668,55.48693848,48.75370026,49.77832413,49.67490768,50.87449646,47.9182663,46.74628448,47.5606308,44.97767639,45.11689758,44.667202,50.82514191,42.76184082,42.95680618,42.44788361,40.89453888,40.30071259,40.79014206,38.76955795,38.60577393,38.18716431,35.89163208,34.30422592,34.26163101,34.41395569,34.48717499,31.76293564,95.75494385,44.39430618
17,90.50192261,91.94683838,90.39997101,82.71734619,83.36703491,75.43501282,73.72746277,70.10890198,73.22950745,67.32723999,56.98764801,56.41940308,53.9064064,50.00178528,47.78828049,48.7035141,47.77284241,47.448349,55.22343063,62.7506485,61.72438812,71.32394409,69.1709671,55.49016953,51.88228226,43.81968689,48.41576385,48.67881012,43.83842468,41.75495529,40.5046463,40.31143188,39.413414,36.45897293,34.91917038,35.3009758,34.84505081,34.84459305,31.99877167,96.34651947,47.19353485
18,91.80186462,93.7769928,90.71742249,86.41704559,84.31003571,77.47302246,75.72936249,69.4160614,72.55767059,64.47297668,55.13989258,53.354599,52.34074402,50.73986816,46.32931519,48.69395447,47.66119385,48.10385132,52.91641998,59.60948563,58.47499847,67.170784,65.05005646,52.86568069,48.28872299,43.86006927,45.67350769,45.42025757,42.51793289,41.17360687,39.74147797,40.1891098,39.39635468,36.34906006,34.88885498,35.16648865,34.4199028,34.42385864,31.76890564,97.72511292,45.89207077
19,90.28250122,93.26589966,88.13491821,88.40667725,83.84880829,77.85064697,77.12155151,66.23355103,68.70650482,60.39966583,52.31058121,52.89112854,51.20593262,49.77135468,46.45762634,49.4802475,48.4276123,45.5825119,49.60002899,55.78755188,55.27329254,62.88613892,60.76083374,51.60228348,45.23492432,42.80922318,43.21765518,43.75247192,40.73945999,40.38088226,39.38045883,39.85102463,39.83772278,36.37550735,35.71517181,35.92371368,35.39141846,35.51237488,32.8948288,96.90650177,45.71015167
20,91.52955627,92.26177216,85.63457489,88.5756073,84.07736969,76.86676025,76.08621216,66.09208679,64.79255676,56.29985046,49.54631805,50.24476624,49.74193573,45.98176956,46.91014099,48.76613235,47.87127686,44.70578766,47.57898712,52.5004921,52.36278915,58.64988327,56.55589294,51.5513649,44.83893585,42.59008408,42.99703598,42.66197205,40.75232697,40.32003403,38.61497498,39.91127777,39.82355499,36.05327606,35.69178772,35.89792633,35.36460495,35.51724243,32.7647171,96.57702637,45.46060181
